job_title,job_location,company_name,salary_year_avg,count
"Senior Data Scientist, Commerce Platform - Inventory (Hartford, CT...",Anywhere,Square,157500.0,1
Senior Data Scientist,"Pune, Maharashtra, India",Snowflake Inc.,157500.0,1
"Senior Manager, Data Science","Petaling Jaya, Selangor, Malaysia",NielsenIQ,79200.0,1
"Senior Data Scientist, Development Diagnostics","Redwood City, CA",REVOLUTION Medicines,170000.0,1
"Senior Data Scientist, Generative AI and NLP","Chicago, IL",ServiceNow,197000.0,1
"Senior Data Scientist, Membership Growth","San Francisco, CA",Patreon,205000.0,1
"Senior Data Scientist, Predictive Model","Dallas, TX",AT&T,189000.0,1
"Senior Data Scientist, Quant Modeling","San Jose, CA",TikTok,184844.5,1
Senior Manager of Data Science,Anywhere,Harnham,165000.0,1
Senior Data Scientist- Risk Modeler- AVP - Hybrid,"Irving, TX",Citi,116600.0,1
Senior Data Scientist,"Santa Clarita, CA",Public Storage,160000.0,1
(Senior) Data Scientist (m/f/d),"Lisbon, Portugal",SIXT,157500.0,1
Senior Data Scientist,"North Olmsted, OH",Moen,162500.0,1
Senior Data Scientist,Anywhere,CVS Health,135000.0,1
Senior Data Scientist,"Agoura Hills, CA",Cydcor,152500.0,1
Senior Data Science Manager,"San Francisco, CA",Source Technology,315000.0,1
"Senior Data Lead, Data Science and Analytics",Unknown,New York Post,125000.0,1
Senior Computer Vision Data Scientist,"Santa Monica, CA",Harnham,215000.0,1
"Senior Clinical Data Scientist, Epidemiology","San Francisco, CA",Alldus,165000.0,1
Remediation Lead Analyst (VP) - Hybrid,"Tampa, FL",Citi,121840.0,1
"Health Data Scientist, Senior","Bethesda, MD",Booz Allen Hamilton,115000.0,1
"Data Scientist, Senior","Huntsville, AL",Booz Allen Hamilton,152650.0,1
"Data Scientist, Senior","Chantilly, VA",Booz Allen Hamilton,115000.0,1
"Data Scientist, Senior","Arlington, VA",Booz Allen Hamilton,115000.0,1
Data Scientist or Sr. Data Scientist,"Amarillo, TX",Xcel Energy,115000.0,1
Data Scientist Senior,"Paris, France",Numberly,157500.0,1
"Data Product Leader, TikTok E-Commerce","San Jose, CA",TikTok,349500.0,1
Data Architectural Specialist Lead,Anywhere,Time Doctor,57500.0,1
AI/ML Health Data Scientist - Senior Consultant,"Atlanta, GA",Guidehouse,112450.0,1
Senior Data Scientist,"Alameda, CA",Abbott,156000.0,1
Senior Data Scientist,Anywhere,Get It Recruit - Information Technology,160000.0,1
Senior Data Scientist,"New York, NY",Wave Talent,170000.0,1
Senior Data Scientist,Anywhere,Harnham,170000.0,1
Senior Data Scientist,"New York, NY",NBA,157500.0,1
"AI/ML - Senior Data Science Manager, AI/ML Data","Cupertino, CA",Apple,173000.0,1
Senior Data Scientist,"Melbourne VIC, Australia",Block,157500.0,1
Senior Data Scientist,"Los Angeles, CA",Logic20/20 Inc.,177500.0,1
Senior Data Scientist,"Los Angeles, CA",Jobot,175000.0,1
Senior Data Scientist,"London, UK",Capco,157500.0,1
Senior Data Scientist,"Franklin Township, NJ",Syneos Health/ inVentiv Health Commercial LLC,141000.0,1
Senior Data Scientist,"Englewood, CO",DISH,146000.0,1
Senior Data Scientist,"Englewood, CO",Appic Solutions,120000.0,1
Senior Data Scientist,"Chicago, IL","Caterpillar, Inc",125000.0,1
Senior Data Scientist,"Atlanta, GA",Marriott,178458.0,1
Senior Data Scientist,Anywhere,Restaurant365,155000.0,1
Senior Data Scientist,Anywhere,Ocean Media,175000.0,1
Senior Data Scientist,Anywhere,Harnham,190000.0,1
Senior Data Scientist,Anywhere,Harnham,175000.0,1
"Sr. Mgr, Lead Analyst - Customer Analytics","Charlotte, NC",TIAA,131900.0,1
